phrase  length  count
campbell  1 6558
county line   2 6538
lakes   1 6537
hotel   1 6502
south main  2 6491
nelson  1 6487
forest service road   3 6483
hills drive   2 6462
pointe  1 6460
mill street   2 6438
grace   1 6436
beaver  1 6401
russell   1 6331
pines   1 6312
horse   1 6296
o   1 6279
north main street   3 6277
mission   1 6249
oaks drive  2 6246
section   1 6228
croft   1 6209
park lane   2 6172
k   1 6158
school number   2 6156
cedar street  2 6155
wells   1 6153
market street   2 6144
main road   2 6141
port  1 6137
king street   2 6135
mitchell  1 6133
road southwest  2 6131
kennedy   1 6105
aspen   1 6103
pearl   1 6093
moore   1 6089
south main street   3 6077
ring road   2 6071
wellington  1 6067
mills   1 6065
east road   2 6054
creek lane  2 6043
baker   1 6041
central avenue  2 6022
harris  1 6003
link  1 6000
ann   1 5992
apple   1 5987
orange  1 5981
sand  1 5977
campus  1 5967
golf  1 5964
bank of   2 5959
oxford  1 5958
morgan  1 5951
linden  1 5951
west main   2 5949
concession  1 5944
airport road  2 5942
ne  1 5927
dale  1 5921
east main   2 5920
robin   1 5919
grill   1 5911
ocean   1 5902
oak lane  2 5896
front street  2 5893
sunrise   1 5887
vine  1 5883
hampton   1 5861
cove road   2 5853
canal   1 5847
albert  1 5809
starbucks   1 5793
robert  1 5772
water street  2 5751
episcopal   1 5742
private road  2 5736
wild  1 5736
church of god   3 5729
francis   1 5721
in  1 5721
parker  1 5720
grange  1 5719
mile road   2 5717
gas station   2 5701
burger  1 5684
lakeside  1 5683
salem   1 5679
county line road  3 5675
i   1 5637
west main street  3 5624
fairway   1 5622
joseph  1 5612
bridge street   2 5611
east main street  3 5606
johns   1 5603
roosevelt   1 5597
greenwood   1 5584
del   1 5583
division  1 5582
cambridge   1 5581
country club  2 5577
medicine  1 5562
sun   1 5562
ross  1 5553
circle drive  2 5542
court east  2 5535
co  1 5528
ivy   1 5523
public library  2 5522
david   1 5518
prince  1 5497
holy  1 5483
knoll   1 5469
grove church  2 5458
villa   1 5455
oakwood   1 5434
drive southwest   2 5429
corner  1 5425
chestnut street   2 5417
hill street   2 5415
gordon  1 5402
crystal   1 5399
family  1 5371
veterans  1 5368
rock road   2 5365
jefferson street  2 5333
provincial  1 5320
sea   1 5319
ferry road  2 5312
police station  2 5304
railroad street   2 5299
navajo  1 5289
mulberry  1 5284
andrews   1 5279
richmond  1 5272
marshall  1 5267
jackson street  2 5261
meadow lane   2 5254
top   1 5251
crown   1 5249
juniper   1 5244
summer  1 5217
loop road   2 5217
ridge court   2 5203
rondavel  1 5195
head  1 5185
state street  2 5175
cherokee  1 5172
bus   1 5156
morris  1 5153
lakeshore   1 5148
hilltop   1 5142
cleveland   1 5138
mesa  1 5133
arthur  1 5127
shore drive   2 5123
p   1 5115
