phrase,count
white oak,3368
dover,3367
states highway,3362
crest drive,3354
clear,3353
united states highway,3353
victory,3352
short street,3347
of jesus christ of,3345
church of jesus christ of,3342
pool,3340
new road,3337
willow street,3334
winter,3333
pheasant,3332
monroe street,3329
california,3328
milton,3326
mobile,3317
heart,3316
pine drive,3312
hayes,3308
margaret,3306
elmwood,3305
dry,3305
north avenue,3302
carmel,3281
patterson,3281
new york,3277
view court,3276
andrew,3276
cross street,3275
holland,3275
oriental medicine,3275
trunk,3270
dixie,3269
johnson road,3269
lane north,3266
beechwood,3265
hunt,3265
the church of jesus,3264
theatre,3264
landing road,3263
the church of jesus christ,3258
woods drive,3258
interstate,3251
good,3251
william street,3251
frank,3251
latter-day,3246
block,3245
village drive,3245
bristol,3236
moor,3234
turkey,3234
jay,3233
latter-day saints,3233
texas,3224
of latter-day,3224
rosewood,3222
division street,3222
of latter-day saints,3221
verde,3221
newport,3220
canada,3219
tunnel,3218
christ of latter-day,3215
marine,3212
jesus christ of latter-day,3212
christ of latter-day saints,3212
jesus christ of latter-day saints,3210
of jesus christ of latter-day,3209
louis,3209
sutton,3200
alder,3200
mark,3199
forest route,3198
oriental medicine clinic,3192
food,3187
provincial road,3186
box,3183
iron,3173
farms,3168
penn,3167
american,3163
volunteer fire,3162
mount zion,3162
porter,3162
lost,3159
tower road,3156
wayne,3154
grey,3152
dam road,3152
atlantic,3150
eden,3150
providence,3145
college street,3144
center drive,3143
hill cemetery,3143
pub,3142
park place,3140
sterling,3140
fawn,3140
south county,3134
west county,3131
kaido,3128
florida,3122
duncan,3119
mount pleasant,3119
wall,3118
crawford,3118
woodlands,3117
smith street,3108
belle,3106
shaw,3106
terminal,3104
victoria street,3098
pearl street,3095
tavern,3095
dallas,3092
marina,3090
woodlawn,3086
pierce,3082
birch street,3078
gateway,3077
pinewood,3074
los,3074
tyler,3068
columbus,3067
four,3064
shores,3062
secondary school,3057
tom,3056
china,3054
windy,3052
life,3044
richard,3041
embassy,3040
glendale,3038
stoney,3036
stevens,3033
hart,3026
lenina street,3023
river street,3023
somerset,3015
coral,3014
glenn,3012
wilson street,3011
junction,3008
midway,3005
run drive,3004
daniel,2993
brighton,2988
cascade,2986
harrison street,2986
lakeshore drive,2982
bradford,2977
rice,2976
preserve,2970
happy,2968
echo,2967
bass,2966
carlton,2964
acorn,2962
cole,2956
free,2955
kensington,2952
a street,2951
tree road,2949
community church,2946
five,2946
regional,2945
winding,2941
pebble,2938
oak avenue,2936
ruby,2930
norman,2926
medical center,2925
brown road,2921
copper,2918
polk,2910
warwick,2908
springs drive,2904
curtis,2900
independence,2899
georgia,2897
bay drive,2896
forrest,2894
harvey,2889
crestview,2888
duke,2883
arnold,2879
elizabeth street,2876
glen drive,2874
ridgewood,2873
bible,2871
fulton,2869
fellowship,2867
saddle,2866
briarwood,2863
anthony,2860
boulder,2859
princess,2859
no.,2858
fs,2854
richardson,2854
roy,2847
national highway,2847
arrowhead,2847
apache,2847
services,2846
bp,2838
beverly,2838
courthouse,2837
shiloh,2836
our lady,2836
price,2833
round,2832
delta,2831
grande,2827
ford road,2827
memorial drive,2826
murphy,2822
third,2820
gap road,2819
walton,2815
shady lane,2814
wind,2813
garage,2813
sunnyside,2806
centennial,2805
manchester,2801
bayview,2800
windmill,2797
parkside,2795
kansas,2791
entrance,2790
lawn,2790
durham,2788
oliver,2783
barnes,2783
new hope,2780
lilac,2779
burton,2779
essex,2778
maplewood,2778
bryant,2777
mine road,2776
jones road,2769
jersey,2768
duck,2768
bull,2758
granite,2756
miller road,2756
clark street,2756
campground,2753
gibson,2751
huntington,2749
bob,2748
meadow road,2744
meridian,2742
indiana,2741
monte,2738
zion church,2738
pine road,2738
sharon,2736
government,2732
kentucky,2731
cabin,2730
brook drive,2729
reynolds,2726
saint johns,2724
chicken,2722
university of,2720
shannon,2715
albany,2715
baldwin,2714
cape,2712
lookout,2703
plant,2702
holiday,2701
patrick,2698
lane southeast,2698
exit,2696
yard,2696
one,2695
friendship,2695
holmes,2694
knox,2693
wharf,2690
manor drive,2689
wheeler,2688
hickory street,2687
gulch,2685
